;;;;;;;;;;;;;;;;;;;;;;;
;DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;;; VOLUME TOTAL (R$) ;;;
;NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO.)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS;;ANO;IPO;FOLLOW-ON;TOTAL
;BRADESPAR;N1;Holdings Diversificadas;Credit Suisse;FOLLOW-ON;ICVM 400;14/09/2005;R$ 53,00;15/09/05; 823 ; 1.289 ; - ; 505.059.260 ; 505.059.260 ;9%;24%;67%;1%;;;;;
;CYRELA REALT;NM;Construção Civil;Credit Suisse;FOLLOW-ON;ICVM 400;20/09/2005;R$ 15,00;22/09/05; 1.574 ; 2.025 ; 629.175.000 ; 273.000.000 ; 902.175.000 ;8%;19%;72%;1%;;;;;
;NOSSA CAIXA;NM;Bancos;UBS;IPO;ICVM 400;26/10/2005;R$ 31,00;28/10/05; 7.342 ; 8.983 ; - ; 953.955.994 ; 953.955.994 ;7%;22%;71%;1%;;;;;
;COSAN;NM;Alimentos Diversos;Morgan Stanley;IPO;ICVM 400;16/11/2005;R$ 48,00;18/11/05; 8.835 ; 10.359 ; 885.767.328 ; - ; 885.767.328 ;8%;18%;72%;1%;;;;;
;TRACTEBEL;NM;Energia Elétrica;UBS;FOLLOW-ON;ICVM 400;07/12/2005;R$ 13,00;09/12/05; 6.351 ; 7.405 ; - ; 1.051.700.000 ; 1.051.700.000 ;8%;36%;55%;1%;;;;;
;UOL;N2;Programas e Serviços;Merrill Lynch;IPO;ICVM 400;14/12/2005;R$ 18,00;16/12/05; 12.890 ; 14.346 ; 322.972.416 ; 301.708.170 ; 624.680.586 ;7%;21%;71%;1%;;;;;
;IOCHP-MAXION;N1;Material Rodoviário;Unibanco;FOLLOW-ON;ICVM 400;31/01/2006;R$ 19,25;02/02/06; 6.870 ; 7.577 ; - ; 340.203.787 ; 340.203.787 ;12%;44%;42%;3%;;;;;
;COPASA;NM;Água e Saneamento;Unibanco;IPO;ICVM 400;06/02/2006;R$ 23,50;08/02/06; 15.465 ; 17.214 ; 813.461.524 ; - ; 813.461.524 ;7%;18%;74%;1%;;;;;
;VIVAX;N2;Televisão Por Assinatura;Itaú BBA;IPO;ICVM 400;06/02/2006;R$ 24,50;08/02/06; 7.730 ; 9.017 ; 58.800.000 ; 470.400.000 ; 529.200.000 ;8%;23%;69%;1%;;;;;
;ROSSI RESID;NM;Construção Civil;Credit Suisse;FOLLOW-ON;ICVM 400;13/02/2006;R$ 25,00;15/02/06; 3.348 ; 3.989 ; 762.500.000 ; 250.000.000 ; 1.012.500.000 ;7%;12%;80%;0%;;;;;
;GAFISA;NM;Construção Civil;Merrill Lynch;IPO;ICVM 400;16/02/2006;R$ 18,50;17/02/06; 13.753 ; 15.560 ; 494.394.000 ; 432.594.750 ; 926.988.750 ;9%;18%;72%;1%;;;;;
;COMPANY;NM;Construção Civil;ABN Amro;IPO;ICVM 400;23/02/2006;R$ 16,00;02/03/06; 12.903 ; 13.701 ; 208.000.000 ; 73.600.000 ; 281.600.000 ;9%;27%;64%;0%;;;;;
;TOTVS;NM;Programas e Serviços;Itaú BBA;IPO;ICVM 400;07/03/2006;R$ 32,00;09/03/06; 16.017 ; 17.600 ; 344.800.000 ; 115.200.000 ; 460.000.000 ;9%;21%;69%;0%;;;;;
;TAM S/A;N2;Transporte Aéreo;Pactual;FOLLOW-ON;ICVM 400;09/03/2006;R$ 42,00;10/03/06; 3.510 ; 3.891 ; 273.162.918 ; 1.285.960.116 ; 1.559.123.034 ;4%;19%;77%;0%;;;;;
;DASA;NM;Serv. Méd. Hospit., Análises e Diagnósticos;UBS;FOLLOW-ON;ICVM 400;22/03/2006;R$ 49,00;24/03/06; 2.063 ; 2.308 ; 185.955.000 ; 476.428.274 ; 662.383.274 ;4%;11%;85%;1%;;;;;
;EQUATORIAL;N2;Energia Elétrica;Credit Suisse;IPO;ICVM 400;30/03/2006;R$ 14,50;03/04/06; 7.365 ; 7.886 ; 185.600.000 ; 354.670.000 ; 540.270.000 ;9%;14%;77%;0%;;;;;
;SARAIVA LIVR;N2;Jornais, Livros e Revistas;Santander;FOLLOW-ON;ICVM 400;11/04/2006;R$ 22,00;13/04/06; 5.976 ; 6.226 ; 66.000.000 ; 116.599.230 ; 182.599.230 ;8%;17%;75%;0%;;;;;
;DURATEX;N1;Madeira;Itaú BBA;FOLLOW-ON;ICVM 400;11/04/2006;R$ 43,50;13/04/06; 4.291 ; 4.842 ; 195.750.000 ; 413.250.000 ; 609.000.000 ;6%;15%;46%;32%;;;;;
;SUBMARINO;NM;Produtos Diversos;Credit Suisse;FOLLOW-ON;ICVM 400;12/04/2006;R$ 53,75;17/04/06; - ; 140 ; 291.506.030 ; 637.570.890 ; 929.076.920 ;0%;10%;90%;0%;;;;;
;LOCALIZA;NM;Aluguel de Carros;Pactual;FOLLOW-ON;ICVM 400;19/04/2006;R$ 41,00;20/04/06; 2.514 ; 2.959 ; 156.825.000 ; 237.214.274 ; 394.039.274 ;8%;17%;74%;1%;;;;;
;ABNOTE;NM;Serviços Diversos;UBS;IPO;ICVM 400;25/04/2006;R$ 17,00;27/04/06; 15.132 ; 16.861 ; - ; 480.434.790 ; 480.434.790 ;8%;21%;70%;1%;;;;;
;RANDON PART;N1;Material Rodoviário;Santander;FOLLOW-ON;ICVM 400;26/04/2006;R$ 8,25;28/04/06; 4.084 ; 4.335 ; 99.000.000 ; 136.200.207 ; 235.200.207 ;11%;23%;54%;12%;;;;;
